hf_id,hf_name,indicator,iqr,sd,ttt
NgU58J2m7Je,Chirokadis Health Post,mcv1,1.0,0.0,1.0
mKaiK1uutHw,Siba Health Post,full_vacc,1.0,1.0,1.0
pPIzli1Yt7Q,Degila Health Post,full_vacc,2.0,0.0,0.0
jet7KBvq7oO,Sefiberet Health Post,penta1,0.0,0.0,2.0
wn38FVsqOgZ,Gula Health Post,mcv1,1.0,1.0,1.0
kxwbejr2u7q,Beles Health Post,penta3,0.0,0.0,0.0
kxwbejr2u7q,Beles Health Post,full_vacc,0.0,0.0,0.0
dvjdXiHfgSS,Agdamia Health Post,ipv,0.0,0.0,0.0
dvjdXiHfgSS,Agdamia Health Post,rota2,0.0,0.0,0.0
iM2up8UCMj9,Tikishgn Sinat Health Post,penta3,0.0,0.0,1.0
ZJecc2ivX6J,Chaba Health Post,ipv,0.0,0.0,1.0
ZJecc2ivX6J,Chaba Health Post,penta1,0.0,0.0,1.0
V8unxjwGNa8,Abeba Mesk Health Center,full_vacc,0.0,0.0,1.0
y9QjXfDvfsD,Meto Health Post,bcg,1.0,1.0,2.0
xrJdwHAVTPt,Atamta Health Post,mcv1,0.0,0.0,0.0
BYLtg1fraiZ,Gumbela Health Post,full_vacc,1.0,1.0,1.0
Bab8APEb4sC,Abaselama Health Post,penta3,2.0,0.0,2.0
Bab8APEb4sC,Abaselama Health Post,rota2,2.0,0.0,2.0
pOn3H5dFgUE,Debre Zeyit Health Post,full_vacc,1.0,1.0,1.0
UYaF5armQoH,Nibo Health Post,ipv,3.0,1.0,1.0
UYaF5armQoH,Nibo Health Post,penta1,2.0,1.0,1.0
OzQqdvhzZt1,Golehito Health Post,ipv,0.0,0.0,0.0
OzQqdvhzZt1,Golehito Health Post,penta1,1.0,1.0,1.0
EaTBiYdzgU1,Gudoberet Health Center,mcv1,0.0,0.0,0.0
xbhx7RPhHnq,Gidnble Health Post,bcg,3.0,1.0,1.0
ZohRPxd6iEB,Woreilu Primary Hospital,mcv1,0.0,1.0,1.0
wNZyqFzgUNv,Egzabiherab ena Abersha Health Post,mcv1,0.0,0.0,0.0
KH6DGd6AQab,Gofchma Health Post,rota2,0.0,0.0,0.0
pbJJnkCWxvb,Salgi Chulo Health Post,mcv1,0.0,1.0,2.0
kDSScjlmoAx,Sanq Health Center,rota2,1.0,0.0,1.0
ywOSe6eEsqh,Wogeda Health Post,mcv1,0.0,0.0,1.0
qdSxhR0TRml,Asketema Health Post,mcv1,4.0,1.0,1.0
TPR8lex20yb,Birlebiho Health Post,penta3,0.0,0.0,1.0
TPR8lex20yb,Birlebiho Health Post,rota2,0.0,0.0,0.0
pfCyxvHkrEb,Yegebeta Health Post,ipv,0.0,0.0,0.0
pfCyxvHkrEb,Yegebeta Health Post,penta1,0.0,0.0,0.0
