level,period,year,month,month_code,indicator,iqr,zscore,ttt
5,2014-05,2014.0,May,05,rota2,1.0,0.0,4.0
5,2014-07,2014.0,July,07,rota2,2.0,2.0,3.0
5,2013-11,2013.0,November,11,full_vacc,0.0,0.0,0.0
5,2013-12,2013.0,December,12,full_vacc,0.0,0.0,1.0
5,2014-06,2014.0,June,06,full_vacc,3.0,3.0,6.0
5,2015-01,2015.0,January,01,full_vacc,1.0,1.0,1.0
5,2015-03,2015.0,March,03,full_vacc,1.0,1.0,2.0
4,2013-11,2013.0,November,11,bcg,0.0,0.0,3.0
4,2015-03,2015.0,March,03,bcg,1.0,0.0,2.0
4,2015-09,2015.0,September,09,bcg,0.0,0.0,0.0
4,2015-02,2015.0,February,02,ipv,0.0,0.0,1.0
4,2014-02,2014.0,February,02,penta3,0.0,0.0,0.0
4,2014-10,2014.0,October,10,penta3,0.0,1.0,1.0
4,2015-02,2015.0,February,02,penta3,0.0,0.0,0.0
4,2015-02,2015.0,February,02,mcv1,0.0,0.0,0.0
4,2013-12,2013.0,December,12,rota2,0.0,0.0,0.0
4,2014-04,2014.0,April,04,rota2,0.0,0.0,1.0
4,2014-08,2014.0,August,08,rota2,1.0,0.0,1.0
4,2014-11,2014.0,November,11,rota2,0.0,0.0,2.0
4,2015-06,2015.0,June,06,rota2,1.0,0.0,1.0
4,2014-10,2014.0,October,10,full_vacc,0.0,0.0,0.0
6,2015-01,2015.0,January,01,penta3,22.0,15.0,51.0
6,2014-07,2014.0,July,07,mcv1,101.0,48.0,116.0
6,2014-08,2014.0,August,08,mcv1,306.0,229.0,356.0
6,2014-11,2014.0,November,11,mcv1,35.0,17.0,42.0
6,2014-12,2014.0,December,12,mcv1,14.0,6.0,26.0
6,2015-03,2015.0,March,03,mcv1,32.0,21.0,57.0
6,2015-06,2015.0,June,06,mcv1,44.0,24.0,51.0
6,2014-07,2014.0,July,07,rota2,212.0,147.0,258.0
6,2014-12,2014.0,December,12,rota2,25.0,9.0,41.0
6,2015-02,2015.0,February,02,rota2,29.0,26.0,72.0
6,2015-07,2015.0,July,07,rota2,22.0,15.0,40.0
6,2015-10,2015.0,October,10,rota2,100.0,92.0,215.0
6,2014-01,2014.0,January,01,full_vacc,30.0,23.0,57.0
6,2014-10,2014.0,October,10,full_vacc,233.0,170.0,330.0
6,2015-06,2015.0,June,06,full_vacc,42.0,26.0,54.0
6,2015-09,2015.0,September,09,full_vacc,103.0,73.0,155.0
5,2014-01,2014.0,January,01,bcg,1.0,0.0,1.0
5,2014-10,2014.0,October,10,bcg,0.0,0.0,2.0
5,2014-12,2014.0,December,12,bcg,1.0,0.0,2.0
5,2015-02,2015.0,February,02,bcg,0.0,0.0,1.0
5,2015-04,2015.0,April,04,bcg,0.0,1.0,2.0
5,2014-01,2014.0,January,01,ipv,0.0,0.0,2.0
5,2014-02,2014.0,February,02,ipv,0.0,0.0,1.0
5,2014-12,2014.0,December,12,ipv,0.0,0.0,0.0
5,2015-02,2015.0,February,02,ipv,0.0,0.0,0.0
5,2015-07,2015.0,July,07,ipv,0.0,0.0,0.0
5,2014-01,2014.0,January,01,penta1,0.0,0.0,0.0
5,2014-07,2014.0,July,07,penta1,1.0,1.0,2.0
5,2015-04,2015.0,April,04,penta1,1.0,1.0,1.0
5,2015-06,2015.0,June,06,penta1,0.0,0.0,2.0
5,2015-07,2015.0,July,07,penta1,1.0,2.0,5.0
5,2014-06,2014.0,June,06,penta3,1.0,0.0,2.0
5,2015-01,2015.0,January,01,penta3,1.0,1.0,2.0
5,2015-03,2015.0,March,03,penta3,0.0,1.0,1.0
5,2013-11,2013.0,November,11,mcv1,0.0,0.0,0.0
5,2013-12,2013.0,December,12,mcv1,0.0,0.0,1.0
5,2014-05,2014.0,May,05,mcv1,1.0,0.0,1.0
5,2015-05,2015.0,May,05,mcv1,1.0,3.0,5.0
5,2015-09,2015.0,September,09,mcv1,1.0,1.0,2.0
5,2015-10,2015.0,October,10,mcv1,5.0,4.0,10.0
5,2015-05,2015.0,May,05,rota2,0.0,0.0,2.0
5,2015-09,2015.0,September,09,rota2,0.0,1.0,5.0
5,2015-10,2015.0,October,10,rota2,1.0,2.0,8.0
5,2014-03,2014.0,March,03,full_vacc,0.0,0.0,1.0
5,2014-04,2014.0,April,04,full_vacc,0.0,0.0,1.0
5,2014-09,2014.0,September,09,full_vacc,8.0,5.0,9.0
5,2014-11,2014.0,November,11,full_vacc,0.0,0.0,1.0
4,2014-03,2014.0,March,03,bcg,0.0,0.0,0.0
4,2015-04,2015.0,April,04,bcg,0.0,0.0,1.0
4,2014-01,2014.0,January,01,ipv,0.0,0.0,0.0
4,2014-09,2014.0,September,09,ipv,0.0,0.0,0.0
4,2014-12,2014.0,December,12,ipv,0.0,0.0,0.0
4,2015-03,2015.0,March,03,ipv,0.0,0.0,0.0
4,2015-04,2015.0,April,04,ipv,0.0,0.0,1.0
4,2014-01,2014.0,January,01,penta1,0.0,0.0,0.0
4,2014-03,2014.0,March,03,penta1,1.0,0.0,2.0
4,2014-09,2014.0,September,09,penta1,0.0,0.0,1.0
4,2014-11,2014.0,November,11,penta1,0.0,0.0,0.0
4,2015-04,2015.0,April,04,penta1,0.0,0.0,1.0
4,2014-06,2014.0,June,06,penta3,0.0,0.0,2.0
4,2014-10,2014.0,October,10,mcv1,0.0,0.0,0.0
4,2014-02,2014.0,February,02,full_vacc,0.0,0.0,2.0
4,2015-02,2015.0,February,02,full_vacc,0.0,0.0,0.0
6,2013-11,2013.0,November,11,bcg,41.0,25.0,63.0
6,2013-12,2013.0,December,12,bcg,38.0,23.0,65.0
6,2014-06,2014.0,June,06,bcg,172.0,129.0,201.0
6,2013-11,2013.0,November,11,ipv,29.0,19.0,76.0
6,2013-12,2013.0,December,12,ipv,28.0,17.0,72.0
6,2014-06,2014.0,June,06,ipv,95.0,62.0,118.0
6,2014-10,2014.0,October,10,penta1,169.0,132.0,252.0
6,2015-09,2015.0,September,09,penta1,65.0,36.0,101.0
6,2013-11,2013.0,November,11,penta3,27.0,17.0,72.0
6,2013-12,2013.0,December,12,penta3,28.0,16.0,72.0
6,2014-06,2014.0,June,06,penta3,97.0,60.0,117.0
6,2015-02,2015.0,February,02,mcv1,14.0,8.0,30.0
6,2015-07,2015.0,July,07,mcv1,51.0,40.0,76.0
6,2015-10,2015.0,October,10,mcv1,185.0,148.0,282.0
6,2014-02,2014.0,February,02,rota2,16.0,12.0,58.0
6,2015-04,2015.0,April,04,rota2,65.0,41.0,104.0
6,2015-05,2015.0,May,05,rota2,46.0,32.0,78.0
6,2015-08,2015.0,August,08,rota2,35.0,24.0,81.0
5,2014-10,2014.0,October,10,ipv,0.0,0.0,4.0
5,2015-04,2015.0,April,04,ipv,1.0,1.0,2.0
