region,hf_id,hf_name,indicator,iqr,zscore,ttt
Amhara Regional Health Bureau,mRlcodsSTn6,Zengoba Health Post,full_vacc,0.0,0.0,0.0
Amhara Regional Health Bureau,cZEjRvUlOgl,Debaka Singury Health Post,bcg,0.0,0.0,2.0
Amhara Regional Health Bureau,cZEjRvUlOgl,Debaka Singury Health Post,full_vacc,1.0,0.0,1.0
Amhara Regional Health Bureau,flb9r8dBkKW,Achera Health Post,ipv,0.0,0.0,1.0
Amhara Regional Health Bureau,lftVyeXKwpw,Bichena Health Center,ipv,0.0,0.0,2.0
Amhara Regional Health Bureau,LcCfbwqUkSR,Moy Meda Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,mIm1hGqwUJp,Birbrtie Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,yrtiAxogJs6,Amba Gualit Health Post,mcv1,1.0,1.0,1.0
Amhara Regional Health Bureau,DgEXL7hQSVv,Aruage Health Post,mcv1,5.0,0.0,1.0
Amhara Regional Health Bureau,Af8JwhliURi,Weyraye Bereye Health Post,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,O0UJqUcMi2q,Wonga Nifasm Health Post,penta1,1.0,1.0,1.0
Amhara Regional Health Bureau,j1fXVhjSWuq,Alember Health Center,penta3,0.0,0.0,0.0
Amhara Regional Health Bureau,kdYtXnRKq7K,AYIRARA Health Post,ipv,0.0,0.0,0.0
Amhara Regional Health Bureau,kdYtXnRKq7K,AYIRARA Health Post,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,t14jOSZbIVy,Yisakdebr Health Post,ipv,0.0,0.0,0.0
Amhara Regional Health Bureau,NYlaW4oIrVi,Tengobalel Health Post,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,GjzWo9xTiJu,Ansheb Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,A68R3WQlT4q,Yekegan Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,SvabA34cysW,Chemo Health Center,mcv1,NaN,NaN,NaN
Amhara Regional Health Bureau,UiRET00C5S3,Kuana Health Post,penta1,1.0,1.0,1.0
Amhara Regional Health Bureau,VCy28aDdPuI,Shenbekoch Health Center,bcg,1.0,1.0,1.0
Amhara Regional Health Bureau,VCy28aDdPuI,Shenbekoch Health Center,penta3,0.0,0.0,1.0
Amhara Regional Health Bureau,c3mp6ybpmOC,Afkera Health Post,full_vacc,0.0,0.0,0.0
Amhara Regional Health Bureau,uvzYLtwJq5i,Wonber Kidus Yonis Health Post,rota2,0.0,0.0,1.0
Amhara Regional Health Bureau,lmEw4sns8tr,Zewor gotera Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,So27ZdgdGHm,Yebucher Health Post,mcv1,0.0,1.0,1.0
Amhara Regional Health Bureau,YJc8ly3Q8aC,Asenga Health Post,mcv1,1.0,1.0,1.0
Amhara Regional Health Bureau,GIrO4Vy5AU8,Shumabo Health Center,ipv,0.0,0.0,0.0
Amhara Regional Health Bureau,PyKtYs3No5B,Bakela Amba Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,MD2Y8ZlbYWf,Sigila Tekle Haymanot Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,I66ENJeZVv6,Boda Health Post,penta1,0.0,0.0,1.0
Amhara Regional Health Bureau,STmAgetGsbp,Arebia Health Post,penta1,2.0,0.0,2.0
Amhara Regional Health Bureau,SVjBeSnc9gP,Ganwuha Health Post,bcg,0.0,0.0,0.0
Amhara Regional Health Bureau,SVjBeSnc9gP,Ganwuha Health Post,full_vacc,0.0,0.0,0.0
